2025-05-22 17:02:19,497 - root - INFO - Step: 100 | Loss: 7.05 | Tokens per second: 6245.49 | Training tokens per second (%): 97.37 | MFU (%): 28.73 | TFLOPs: 284.18
2025-05-22 17:02:19,824 - root - INFO - Step: 100 | Loss: 7.05 | Tokens per second: 6472.19 | Training tokens per second (%): 97.37 | MFU (%): 29.78 | TFLOPs: 294.49
2025-05-22 17:02:19,850 - root - INFO - Step: 95 | Loss: 7.41 | Tokens per second: 6479.47 | Training tokens per second (%): 92.58 | MFU (%): 29.81 | TFLOPs: 294.83
2025-05-22 17:02:20,460 - root - INFO - Step: 105 | Loss: 7.28 | Tokens per second: 6522.12 | Training tokens per second (%): 94.65 | MFU (%): 30.01 | TFLOPs: 296.77
2025-05-22 17:02:21,126 - root - INFO - Step: 105 | Loss: 7.28 | Tokens per second: 6427.13 | Training tokens per second (%): 94.65 | MFU (%): 29.57 | TFLOPs: 292.44
2025-05-22 17:02:21,438 - root - INFO - Step: 105 | Loss: 7.28 | Tokens per second: 6512.87 | Training tokens per second (%): 94.65 | MFU (%): 29.96 | TFLOPs: 296.34
2025-05-22 17:02:21,478 - root - INFO - Step: 100 | Loss: 7.05 | Tokens per second: 6411.46 | Training tokens per second (%): 97.37 | MFU (%): 29.50 | TFLOPs: 291.73
2025-05-22 17:02:22,069 - root - INFO - Step: 110 | Loss: 7.09 | Tokens per second: 6529.09 | Training tokens per second (%): 96.01 | MFU (%): 30.04 | TFLOPs: 297.08
2025-05-22 17:02:22,741 - root - INFO - Step: 110 | Loss: 7.09 | Tokens per second: 6442.28 | Training tokens per second (%): 96.01 | MFU (%): 29.64 | TFLOPs: 293.13
2025-05-22 17:02:23,044 - root - INFO - Step: 110 | Loss: 7.09 | Tokens per second: 6540.35 | Training tokens per second (%): 96.01 | MFU (%): 30.09 | TFLOPs: 297.60
2025-05-22 17:02:23,096 - root - INFO - Step: 105 | Loss: 7.28 | Tokens per second: 6461.58 | Training tokens per second (%): 94.65 | MFU (%): 29.73 | TFLOPs: 294.01
2025-05-22 17:02:23,680 - root - INFO - Step: 115 | Loss: 6.96 | Tokens per second: 6520.65 | Training tokens per second (%): 96.19 | MFU (%): 30.00 | TFLOPs: 296.70
2025-05-22 17:02:24,367 - root - INFO - Step: 115 | Loss: 6.96 | Tokens per second: 6411.96 | Training tokens per second (%): 96.19 | MFU (%): 29.50 | TFLOPs: 291.75
2025-05-22 17:02:24,658 - root - INFO - Step: 115 | Loss: 6.96 | Tokens per second: 6511.30 | Training tokens per second (%): 96.19 | MFU (%): 29.96 | TFLOPs: 296.27
2025-05-22 17:02:24,701 - root - INFO - Step: 110 | Loss: 7.09 | Tokens per second: 6515.40 | Training tokens per second (%): 96.01 | MFU (%): 29.98 | TFLOPs: 296.46
2025-05-22 17:02:25,295 - root - INFO - Step: 120 | Loss: 7.24 | Tokens per second: 6505.66 | Training tokens per second (%): 93.61 | MFU (%): 29.93 | TFLOPs: 296.02
2025-05-22 17:02:25,999 - root - INFO - Step: 120 | Loss: 7.24 | Tokens per second: 6388.88 | Training tokens per second (%): 93.61 | MFU (%): 29.39 | TFLOPs: 290.70
2025-05-22 17:02:26,276 - root - INFO - Step: 120 | Loss: 7.24 | Tokens per second: 6492.92 | Training tokens per second (%): 93.61 | MFU (%): 29.87 | TFLOPs: 295.44
2025-05-22 17:02:26,311 - root - INFO - Step: 115 | Loss: 6.96 | Tokens per second: 6492.48 | Training tokens per second (%): 96.19 | MFU (%): 29.87 | TFLOPs: 295.42
2025-05-22 17:02:26,909 - root - INFO - Step: 125 | Loss: 7.35 | Tokens per second: 6510.82 | Training tokens per second (%): 96.45 | MFU (%): 29.95 | TFLOPs: 296.25
2025-05-22 17:02:27,618 - root - INFO - Step: 125 | Loss: 7.35 | Tokens per second: 6482.44 | Training tokens per second (%): 96.45 | MFU (%): 29.82 | TFLOPs: 294.96
2025-05-22 17:02:27,883 - root - INFO - Step: 125 | Loss: 7.35 | Tokens per second: 6537.17 | Training tokens per second (%): 96.45 | MFU (%): 30.08 | TFLOPs: 297.45
2025-05-22 17:02:27,925 - root - INFO - Step: 120 | Loss: 7.24 | Tokens per second: 6487.49 | Training tokens per second (%): 93.61 | MFU (%): 29.85 | TFLOPs: 295.19
2025-05-22 17:02:28,522 - root - INFO - Step: 130 | Loss: 7.15 | Tokens per second: 6515.15 | Training tokens per second (%): 95.58 | MFU (%): 29.97 | TFLOPs: 296.45
2025-05-22 17:02:29,231 - root - INFO - Step: 130 | Loss: 7.15 | Tokens per second: 6504.84 | Training tokens per second (%): 95.58 | MFU (%): 29.93 | TFLOPs: 295.98
2025-05-22 17:02:29,493 - root - INFO - Step: 130 | Loss: 7.15 | Tokens per second: 6529.33 | Training tokens per second (%): 95.58 | MFU (%): 30.04 | TFLOPs: 297.09
2025-05-22 17:02:29,536 - root - INFO - Step: 125 | Loss: 7.35 | Tokens per second: 6503.86 | Training tokens per second (%): 96.45 | MFU (%): 29.92 | TFLOPs: 295.93
2025-05-22 17:02:30,129 - root - INFO - Step: 135 | Loss: 7.27 | Tokens per second: 6536.97 | Training tokens per second (%): 93.79 | MFU (%): 30.07 | TFLOPs: 297.44
2025-05-22 17:02:30,848 - root - INFO - Step: 135 | Loss: 7.27 | Tokens per second: 6500.33 | Training tokens per second (%): 93.79 | MFU (%): 29.91 | TFLOPs: 295.77
2025-05-22 17:02:31,104 - root - INFO - Step: 135 | Loss: 7.27 | Tokens per second: 6520.84 | Training tokens per second (%): 93.79 | MFU (%): 30.00 | TFLOPs: 296.71
2025-05-22 17:02:31,143 - root - INFO - Step: 130 | Loss: 7.15 | Tokens per second: 6518.37 | Training tokens per second (%): 95.58 | MFU (%): 29.99 | TFLOPs: 296.60
2025-05-22 17:02:31,753 - root - INFO - Step: 140 | Loss: 6.92 | Tokens per second: 6471.40 | Training tokens per second (%): 98.94 | MFU (%): 29.77 | TFLOPs: 294.46
2025-05-22 17:02:32,498 - root - INFO - Step: 140 | Loss: 6.92 | Tokens per second: 6363.34 | Training tokens per second (%): 98.94 | MFU (%): 29.28 | TFLOPs: 289.54
2025-05-22 17:02:32,738 - root - INFO - Step: 140 | Loss: 6.92 | Tokens per second: 6429.64 | Training tokens per second (%): 98.94 | MFU (%): 29.58 | TFLOPs: 292.56
2025-05-22 17:02:32,750 - root - INFO - Step: 135 | Loss: 7.27 | Tokens per second: 6537.55 | Training tokens per second (%): 93.79 | MFU (%): 30.08 | TFLOPs: 297.47
2025-05-22 17:02:33,367 - root - INFO - Step: 145 | Loss: 6.99 | Tokens per second: 6508.53 | Training tokens per second (%): 90.98 | MFU (%): 29.94 | TFLOPs: 296.15
2025-05-22 17:02:34,122 - root - INFO - Step: 145 | Loss: 6.99 | Tokens per second: 6470.32 | Training tokens per second (%): 90.98 | MFU (%): 29.77 | TFLOPs: 294.41
2025-05-22 17:02:34,343 - root - INFO - Step: 145 | Loss: 6.99 | Tokens per second: 6546.60 | Training tokens per second (%): 90.98 | MFU (%): 30.12 | TFLOPs: 297.88
2025-05-22 17:02:34,374 - root - INFO - Step: 140 | Loss: 6.92 | Tokens per second: 6460.45 | Training tokens per second (%): 98.94 | MFU (%): 29.72 | TFLOPs: 293.96
2025-05-22 17:02:34,965 - root - INFO - Step: 150 | Loss: 6.88 | Tokens per second: 6576.60 | Training tokens per second (%): 89.86 | MFU (%): 30.26 | TFLOPs: 299.24
2025-05-22 17:02:35,733 - root - INFO - Step: 150 | Loss: 6.88 | Tokens per second: 6519.01 | Training tokens per second (%): 89.86 | MFU (%): 29.99 | TFLOPs: 296.62
2025-05-22 17:02:35,940 - root - INFO - Step: 150 | Loss: 6.88 | Tokens per second: 6582.42 | Training tokens per second (%): 89.86 | MFU (%): 30.28 | TFLOPs: 299.51
2025-05-22 17:02:35,980 - root - INFO - Step: 145 | Loss: 6.99 | Tokens per second: 6540.22 | Training tokens per second (%): 90.98 | MFU (%): 30.09 | TFLOPs: 297.59
2025-05-22 17:02:36,568 - root - INFO - Step: 155 | Loss: 6.95 | Tokens per second: 6557.65 | Training tokens per second (%): 96.05 | MFU (%): 30.17 | TFLOPs: 298.38
