2025-05-22 16:03:32,804 - root - INFO - Step: 80 | Loss: 8.22 | Tokens per second: 8149.40 | Training tokens per second (%): 17.36 | MFU (%): 42.47 | TFLOPs: 420.03
2025-05-22 16:03:32,812 - root - INFO - Step: 80 | Loss: 8.22 | Tokens per second: 8156.84 | Training tokens per second (%): 17.36 | MFU (%): 42.51 | TFLOPs: 420.41
2025-05-22 16:03:32,814 - root - INFO - Step: 80 | Loss: 8.22 | Tokens per second: 8143.96 | Training tokens per second (%): 17.36 | MFU (%): 42.44 | TFLOPs: 419.75
2025-05-22 16:03:32,816 - root - INFO - Step: 80 | Loss: 8.22 | Tokens per second: 8150.03 | Training tokens per second (%): 17.36 | MFU (%): 42.47 | TFLOPs: 420.06
2025-05-22 16:03:35,603 - root - INFO - Step: 85 | Loss: 8.31 | Tokens per second: 7320.46 | Training tokens per second (%): 16.04 | MFU (%): 38.15 | TFLOPs: 377.31
2025-05-22 16:03:35,609 - root - INFO - Step: 85 | Loss: 8.31 | Tokens per second: 7330.51 | Training tokens per second (%): 16.04 | MFU (%): 38.20 | TFLOPs: 377.82
2025-05-22 16:03:35,610 - root - INFO - Step: 85 | Loss: 8.31 | Tokens per second: 7321.36 | Training tokens per second (%): 16.04 | MFU (%): 38.15 | TFLOPs: 377.35
2025-05-22 16:03:35,614 - root - INFO - Step: 85 | Loss: 8.31 | Tokens per second: 7322.85 | Training tokens per second (%): 16.04 | MFU (%): 38.16 | TFLOPs: 377.43
2025-05-22 16:03:38,264 - root - INFO - Step: 90 | Loss: 7.72 | Tokens per second: 7699.60 | Training tokens per second (%): 57.98 | MFU (%): 40.13 | TFLOPs: 396.85
2025-05-22 16:03:38,273 - root - INFO - Step: 90 | Loss: 7.72 | Tokens per second: 7691.98 | Training tokens per second (%): 57.98 | MFU (%): 40.09 | TFLOPs: 396.45
2025-05-22 16:03:38,275 - root - INFO - Step: 90 | Loss: 7.72 | Tokens per second: 7687.81 | Training tokens per second (%): 57.98 | MFU (%): 40.06 | TFLOPs: 396.24
2025-05-22 16:03:38,276 - root - INFO - Step: 90 | Loss: 7.72 | Tokens per second: 7696.69 | Training tokens per second (%): 57.98 | MFU (%): 40.11 | TFLOPs: 396.70
2025-05-22 16:03:40,810 - root - INFO - Step: 95 | Loss: 7.47 | Tokens per second: 8049.72 | Training tokens per second (%): 57.90 | MFU (%): 41.95 | TFLOPs: 414.89
2025-05-22 16:03:40,815 - root - INFO - Step: 95 | Loss: 7.47 | Tokens per second: 8069.43 | Training tokens per second (%): 57.90 | MFU (%): 42.05 | TFLOPs: 415.91
2025-05-22 16:03:40,817 - root - INFO - Step: 95 | Loss: 7.47 | Tokens per second: 8055.35 | Training tokens per second (%): 57.90 | MFU (%): 41.98 | TFLOPs: 415.18
2025-05-22 16:03:40,819 - root - INFO - Step: 95 | Loss: 7.47 | Tokens per second: 8053.85 | Training tokens per second (%): 57.90 | MFU (%): 41.97 | TFLOPs: 415.11
2025-05-22 16:03:43,362 - root - INFO - Step: 100 | Loss: 7.31 | Tokens per second: 8027.14 | Training tokens per second (%): 93.89 | MFU (%): 41.83 | TFLOPs: 413.73
2025-05-22 16:03:43,369 - root - INFO - Step: 100 | Loss: 7.31 | Tokens per second: 8023.79 | Training tokens per second (%): 93.89 | MFU (%): 41.82 | TFLOPs: 413.56
2025-05-22 16:03:43,370 - root - INFO - Step: 100 | Loss: 7.31 | Tokens per second: 8024.46 | Training tokens per second (%): 93.89 | MFU (%): 41.82 | TFLOPs: 413.59
2025-05-22 16:03:43,370 - root - INFO - Step: 100 | Loss: 7.31 | Tokens per second: 8031.40 | Training tokens per second (%): 93.89 | MFU (%): 41.86 | TFLOPs: 413.95
2025-05-22 16:03:45,850 - root - INFO - Step: 105 | Loss: 7.60 | Tokens per second: 8235.73 | Training tokens per second (%): 17.91 | MFU (%): 42.92 | TFLOPs: 424.48
2025-05-22 16:03:45,859 - root - INFO - Step: 105 | Loss: 7.60 | Tokens per second: 8226.38 | Training tokens per second (%): 17.91 | MFU (%): 42.87 | TFLOPs: 424.00
2025-05-22 16:03:45,861 - root - INFO - Step: 105 | Loss: 7.60 | Tokens per second: 8225.31 | Training tokens per second (%): 17.91 | MFU (%): 42.87 | TFLOPs: 423.94
2025-05-22 16:03:45,863 - root - INFO - Step: 105 | Loss: 7.60 | Tokens per second: 8219.20 | Training tokens per second (%): 17.91 | MFU (%): 42.83 | TFLOPs: 423.63
2025-05-22 16:03:48,428 - root - INFO - Step: 110 | Loss: 8.21 | Tokens per second: 7948.76 | Training tokens per second (%): 25.76 | MFU (%): 41.42 | TFLOPs: 409.69
2025-05-22 16:03:48,438 - root - INFO - Step: 110 | Loss: 8.21 | Tokens per second: 7954.47 | Training tokens per second (%): 25.76 | MFU (%): 41.45 | TFLOPs: 409.98
2025-05-22 16:03:48,439 - root - INFO - Step: 110 | Loss: 8.21 | Tokens per second: 7945.46 | Training tokens per second (%): 25.76 | MFU (%): 41.41 | TFLOPs: 409.52
2025-05-22 16:03:48,439 - root - INFO - Step: 110 | Loss: 8.21 | Tokens per second: 7941.27 | Training tokens per second (%): 25.76 | MFU (%): 41.39 | TFLOPs: 409.30
2025-05-22 16:03:50,971 - root - INFO - Step: 115 | Loss: 7.66 | Tokens per second: 8058.65 | Training tokens per second (%): 9.98 | MFU (%): 42.00 | TFLOPs: 415.35
2025-05-22 16:03:50,979 - root - INFO - Step: 115 | Loss: 7.66 | Tokens per second: 8067.84 | Training tokens per second (%): 9.98 | MFU (%): 42.05 | TFLOPs: 415.83
2025-05-22 16:03:50,980 - root - INFO - Step: 115 | Loss: 7.66 | Tokens per second: 8062.75 | Training tokens per second (%): 9.98 | MFU (%): 42.02 | TFLOPs: 415.56
2025-05-22 16:03:50,981 - root - INFO - Step: 115 | Loss: 7.66 | Tokens per second: 8060.80 | Training tokens per second (%): 9.98 | MFU (%): 42.01 | TFLOPs: 415.46
